"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"001-tables","sgbd","changelog-master.xml","2025-09-05T22:54:26.707","1","EXECUTED","9:9e5bb5fbcf73efe563af12e4edc3d700","sqlFile path=../ddl/01_tables.sql","","","4.33.0","()","","7112863053"
"002-constraints","sgbd","changelog-master.xml","2025-09-05T22:54:26.763","2","EXECUTED","9:100639ce64cd2b92faef98152777812b","sqlFile path=../ddl/02_constraints.sql","","","4.33.0","()","","7112863053"
"003-idx-producto-nombre","sgbd","changelog-master.xml","2025-09-05T22:54:26.782","3","EXECUTED","9:99d4e1f26ee1c6947be08caab3fdfff5","createIndex indexName=IX_PRODUCTO__NOMBRE, tableName=PRODUCTO","","","4.33.0","()","","7112863053"
"003-idx-venta-cliente","sgbd","changelog-master.xml","2025-09-05T22:54:26.803","4","EXECUTED","9:ebf986eb3530f7a9f9cfd0ffbf554ad6","createIndex indexName=IX_VENTA__CLIENTE_ID, tableName=VENTA","","","4.33.0","()","","7112863053"
"003-idx-venta_item-venta","sgbd","changelog-master.xml","2025-09-05T22:54:26.821","5","EXECUTED","9:ac4387e0e15b595fa094b821ac992959","createIndex indexName=IX_VENTA_ITEM__VENTA_ID, tableName=VENTA_ITEM","","","4.33.0","()","","7112863053"
"003-idx-venta_item-producto","sgbd","changelog-master.xml","2025-09-05T22:54:26.84","6","EXECUTED","9:fdc57df5cff94141304f5902dd29ba61","createIndex indexName=IX_VENTA_ITEM__PRODUCTO_ID, tableName=VENTA_ITEM","","","4.33.0","()","","7112863053"
"004-views","sgbd","changelog-master.xml","2025-09-05T22:54:26.894","7","EXECUTED","9:378a28041927c6a1a0c08890eeeec77b","sqlFile path=../ddl/05_views.sql","","","4.33.0","()","","7112863053"
"005-seed","sgbd","changelog-master.xml","2025-09-05T22:54:26.959","8","EXECUTED","9:710f6222efd548f4bd8820c3c9ea5332","sqlFile path=../ddl/06_seed.sql","","","4.33.0","()","","7112863053"
"006-triggers","sgbd","changelog-master.xml","2025-09-05T22:54:27.015","9","EXECUTED","9:539bc4e6845ef4590c4d68203373e79c","sqlFile path=../ddl/07_triggers.sql","","","4.33.0","()","","7112863053"
"007-ext-tables","sgbd","changelog-master.xml","2025-09-05T22:54:27.106","10","EXECUTED","9:f35a1001d0d3fef73abbfd5fd1dddbb6","sqlFile path=../ddl/11_external_tables_drop.sql; sqlFile path=../ddl/11_external_tables_fix.sql","","","4.33.0","dev","","7112863053"
"008a-sucursal-table","sgbd","changelog-master.xml","2025-09-05T22:54:27.126","11","EXECUTED","9:442e860562d0de8e30b228663dc87479","sql","","","4.33.0","()","","7112863053"
"008b-inv-add-col-sucursal","sgbd","changelog-master.xml","2025-09-05T22:54:27.144","12","EXECUTED","9:d2807ad0e37664fb1cead04959e25010","sql","","","4.33.0","()","","7112863053"
"008c-inv-fk-sucursal","sgbd","changelog-master.xml","2025-09-05T22:54:27.165","13","EXECUTED","9:2962686a4f19af15fd4bae939fd61aec","sql","","","4.33.0","()","","7112863053"
"008d-inv-idx-sucursal","sgbd","changelog-master.xml","2025-09-05T22:54:27.183","14","EXECUTED","9:4d99324777982f8b482910d9c903af2c","sql","","","4.33.0","()","","7112863053"
"008e-sucursal-seed","sgbd","changelog-master.xml","2025-09-05T22:54:27.201","15","EXECUTED","9:119614e856dcd0058f243d8896cf6e0d","sql","","","4.33.0","()","","7112863053"
"012-rut-chile","sgbd","changelog-master.xml","2025-09-05T22:54:27.25","16","EXECUTED","9:c8644a51567c69434f11217451e85411","sqlFile path=../ddl/12_rut_chile.sql","","","4.33.0","()","","7112863053"
"013-export-csv","sgbd","changelog-master.xml","2025-09-05T22:54:27.297","17","EXECUTED","9:03ba540babd0276058667a32e0d26fcd","sqlFile path=../ddl/13_export_csv.sql","","","4.33.0","()","","7112863053"
"013a-export-dir-admin-inline","sgbd","changelog/013-export-dir.xml","2025-09-05T22:54:27.314","18","EXECUTED","9:488635ce20d747ff51ef873e71a397b4","sql","Rutas Linux dentro del contenedor Oracle XE","","4.33.0","admin","","7112863053"
"013b-export-dir-grants-admin-inline","sgbd","changelog/013-export-dir.xml","2025-09-05T22:54:27.331","19","EXECUTED","9:e39e483b975938780b3ed99dda238587","sql","","","4.33.0","admin","","7112863053"
"013c-export-dir-nonadmin-assert","sgbd","changelog/013-export-dir.xml","2025-09-05T22:54:27.348","20","EXECUTED","9:5be7077dd3429beba12fcde1a979d5bb","sql","","","4.33.0","!admin","","7112863053"
"014b1-mv-vpp-desde-boleta","sgbd","changelog/014-mv-kpis.xml","2025-09-05T22:54:27.367","21","EXECUTED","9:9f87e476cc007b5ebc0615b8bbb04a55","sql; sql","","","4.33.0","!admin","","7112863053"
"014b2-mv-vpp-desde-venta","sgbd","changelog/014-mv-kpis.xml","2025-09-05T22:54:27.386","22","EXECUTED","9:afd115b66b4cdbc6ef7938f54bdf1015","sql; sql","","","4.33.0","!admin","","7112863053"
"014b1-mv-vpp-desde-boleta","sgbd","changelog/014b-mv-vpp.xml","2025-09-05T22:54:27.404","23","EXECUTED","9:9f87e476cc007b5ebc0615b8bbb04a55","sql; sql","","","4.33.0","!admin","","7112863053"
"014b2-mv-vpp-desde-venta","sgbd","changelog/014b-mv-vpp.xml","2025-09-05T22:54:27.421","24","EXECUTED","9:afd115b66b4cdbc6ef7938f54bdf1015","sql; sql","","","4.33.0","!admin","","7112863053"
"014b3-mv-vpp-desde-boleta-retry","sgbd","changelog/014b-mv-vpp.xml","2025-09-05T22:54:27.438","25","EXECUTED","9:9f87e476cc007b5ebc0615b8bbb04a55","sql; sql","","","4.33.0","!admin","","7112863053"
"014b4-mv-vpp-boleta-detalle","sgbd","changelog/014b-mv-vpp.xml","2025-09-05T22:54:27.455","26","EXECUTED","9:b23349c20e28c711bf75b772526bdf1b","sql","","","4.33.0","!admin","","7112863053"
"017d-view-kpi-vpp-if-mv","sgbd","changelog/014b-mv-vpp.xml","2025-09-05T22:54:27.471","27","EXECUTED","9:3e6b2f5b00be4b390d7955ee31ca17d0","sql","","","4.33.0","!admin","","7112863053"
"015-scheduler-kpis","sgbd","changelog/015-scheduler-kpis.xml","2025-09-05T22:54:27.516","28","EXECUTED","9:e370a3439cb99863064f074eec7fbd30","sqlFile path=../../ddl/15_scheduler_kpis.sql","","","4.33.0","()","","7112863053"
"016-export-procs","sgbd","changelog/016-export-procs.xml","2025-09-05T22:54:27.565","29","EXECUTED","9:f72df29a67515064b5b976937c0c2fee","sqlFile path=../../ddl/13b_export_procs.sql","","","4.33.0","()","","7112863053"
"017a-view-kpi-ventas-diarias","sgbd","changelog/017-views-kpi.xml","2025-09-05T22:54:27.61","30","EXECUTED","9:daa45a59521d12ee3eb1476b31eae924","sqlFile path=../../ddl/17a_view_kpi_ventas_diarias.sql","","","4.33.0","!admin","","7112863053"
"017b-view-kpi-ventas-por-producto","sgbd","changelog/017-views-kpi.xml","2025-09-05T22:54:27.657","31","EXECUTED","9:3e6b2f5b00be4b390d7955ee31ca17d0","sqlFile path=../../ddl/17b_view_kpi_ventas_por_producto.sql","","","4.33.0","!admin","","7112863053"
"017c-view-kpi-vpp-create-if-mv","sgbd","changelog/017-views-kpi.xml","2025-09-05T22:54:27.675","32","EXECUTED","9:ee70f7464ccdbf0eb8498168bdcce0f1","sql","","","4.33.0","!admin","","7112863053"
"018-scheduler-export","sgbd","changelog/018-scheduler-export.xml","2025-09-05T22:54:27.72","33","EXECUTED","9:b6588fcd5a516aa294a55b1e1947bfab","sqlFile path=../../ddl/18_scheduler_export.sql","","","4.33.0","()","","7112863053"
"019-indexes-perf","sgbd","changelog/019-indexes-perf.xml","2025-09-05T22:54:27.765","34","EXECUTED","9:1bcc51fbef7064eb5fa967fd43fd181a","sqlFile path=../../ddl/19_indexes_perf.sql","","","4.33.0","()","","7112863053"
"020-monitoring","sgbd","changelog/020-monitoring.xml","2025-09-05T22:54:27.812","35","EXECUTED","9:f8c1388d3ed856e0fefbebc294bc2a43","sqlFile path=../../scripts/check_jobs.sql","","","4.33.0","dev","","7112863053"
"021-core-ubicaciones-inventario","sgbd","changelog/021-core-ubicaciones-inventario.xml","2025-09-05T22:54:27.862","36","EXECUTED","9:d1c41aee4ffb7e549986062f046583c5","sqlFile path=../../ddl/021_core_ubicaciones_inventario.sql","","","4.33.0","()","","7112863053"
"022-conteos-diarios","sgbd","changelog/022-conteos-diarios.xml","2025-09-05T22:54:27.907","37","EXECUTED","9:51aa2d07987af2fcffb0ca90af810aa1","sqlFile path=../../ddl/022_conteos_diarios.sql","","","4.33.0","()","","7112863053"
"022-conteos-diarios-proc","sgbd","changelog/022-conteos-diarios.xml","2025-09-05T22:54:27.925","38","EXECUTED","9:832942cd54bb5452f4ddfd661916cec3","sql","","","4.33.0","()","","7112863053"
"023-pendientes-vacio","sgbd","changelog/023-pendientes-vacio.xml","2025-09-05T22:54:27.972","39","EXECUTED","9:c72dfceb1731b138ab1b26521feb1508","sqlFile path=../../ddl/023_pendientes_vacio.sql","","","4.33.0","()","","7112863053"
"024-compras-ddl","sgbd","changelog/024-compras.xml","2025-09-05T22:54:28.02","40","EXECUTED","9:fec822119e323243b59a60c6925c1069","sqlFile path=../../ddl/024_compras.sql","","","4.33.0","()","","7112863053"
"024-compras-proc","sgbd","changelog/024-compras.xml","2025-09-05T22:54:28.066","41","EXECUTED","9:01bb2c5f4098d2af0fff0795187cb271","sqlFile path=../../ddl/024_compras_proc.sql","","","4.33.0","()","","7112863053"
"025-ventas-ubicacion","sgbd","changelog/025-ventas-ubicacion.xml","2025-09-05T22:54:28.119","42","EXECUTED","9:5b95cd4f667d506bd24dd0938de6ee94","sqlFile path=../../ddl/025_ventas_ubicacion.sql","","","4.33.0","()","","7112863053"
"026-caja-cuentas","sgbd","changelog/026-caja-cuentas.xml","2025-09-05T22:54:28.169","43","EXECUTED","9:47d77fb8dd202d300617a743925888f8","sqlFile path=../../ddl/026_caja_cuentas.sql","","","4.33.0","()","","7112863053"
"027-lista-precios","sgbd","changelog/027-lista-precios.xml","2025-09-05T22:54:28.222","44","EXECUTED","9:b5de9613cb55fca7cca70802628ffdaa","sqlFile path=../../ddl/027_lista_precios.sql","","","4.33.0","()","","7112863053"
"028-geo-clientes","sgbd","changelog/028-geo-clientes.xml","2025-09-05T22:54:28.271","45","EXECUTED","9:1cd4b45a1a96512b627a9ddacb98765a","sqlFile path=../../ddl/028_geo_clientes.sql","","","4.33.0","()","","7112863053"
"029-venta-idempotencia","sgbd","changelog/029-venta-idempotencia.xml","2025-09-05T22:54:28.332","46","EXECUTED","9:3839ff99efe3b0e4ec9e5456c73496b2","sqlFile path=../../ddl/29_venta_idempotencia.sql","","","4.33.0","()","","7112863053"
"030-app-context-pkg","sgbd","changelog/030-app-context.xml","2025-09-05T22:54:28.38","47","EXECUTED","9:0466594827ae946b9de804678d1f3641","sqlFile path=../../ddl/30_app_context_pkg.sql","","","4.33.0","()","","7112863053"
"030-app-context-createctx","sgbd","changelog/030-app-context.xml","2025-09-05T22:54:28.427","48","EXECUTED","9:138916565f831eef644e8f69e36f9992","sqlFile path=../../ddl/30_app_context_createctx.sql","","","4.33.0","()","","7112863053"
"031-trigger-boleta-usuario","sgbd","changelog/031-trigger-boleta-usuario.xml","2025-09-05T22:54:28.473","49","EXECUTED","9:f384e4f05d0983af167d0f15309645b8","sqlFile path=../../ddl/31_trigger_boleta_usuario.sql","","","4.33.0","()","","7112863053"
"018-seed-precios-producto","sgbd","changelog/032-seed-precios-producto.xml","2025-09-05T22:54:28.518","50","EXECUTED","9:537cc079cecfc6a9bd1b1cd7e6e18bd7","sqlFile path=../../ddl/18_seed_precios_producto.sql","","","4.33.0","!admin,seed","","7112863053"
"019a-seq-boleta-numero","sgbd","changelog/033-seq-trg-boleta-numero.xml","2025-09-05T22:54:28.534","51","EXECUTED","9:bd846a7c13182240c18066a99e771f23","createSequence sequenceName=SEQ_BOLETA_NUMERO","","","4.33.0","!admin","","7112863053"
"019b-trg-boleta-set-numero","sgbd","changelog/033-seq-trg-boleta-numero.xml","2025-09-05T22:54:28.55","52","EXECUTED","9:ac4ac2adeecb0b8f10d9844017803c53","sql","","","4.33.0","!admin","","7112863053"
"020-scheduler-tz","sgbd","changelog/034-scheduler-timezone.xml","2025-09-05T22:54:28.566","53","EXECUTED","9:80807a615a3ed8f5eddf507c2217100c","sql","Fija la zona horaria por defecto del Scheduler","","4.33.0","admin","","7112863053"
"035a-mv-vd-create-if-missing","sgbd","changelog/035-repair-mvs-views.xml","2025-09-05T22:54:28.583","54","EXECUTED","9:69c1f102c9c3dd15e78171a1c216f202","sql","","","4.33.0","!admin","","7112863053"
"035b-mv-vpp-compile-if-exists","sgbd","changelog/035-repair-mvs-views.xml","2025-09-05T22:54:28.599","55","EXECUTED","9:5d6026687f8d31dc8e51663078b8cc7e","sql","","","4.33.0","!admin","","7112863053"
"035c-view-kpi-vd-if-mv","sgbd","changelog/035-repair-mvs-views.xml","2025-09-05T22:54:28.617","56","EXECUTED","9:3bc2f01e1dc7a436d2c4db4fcda7b07a","sql","","","4.33.0","!admin","","7112863053"
"035d-view-kpi-vpp-if-mv","sgbd","changelog/035-repair-mvs-views.xml","2025-09-05T22:54:28.633","57","EXECUTED","9:ee70f7464ccdbf0eb8498168bdcce0f1","sql",,"","4.33.0","!admin","","7112863053"
